specimen_collection_date,overall_segment,vaccination_status,sf_population,new_cases,new_cases_7_day_avg,new_case_rate,new_case_rate_7_day_avg,pct_tot_new_cases,pct_tot_new_cases_7_day_avg,data_as_of,data_loaded_at
01/01/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,1,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/02/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,1,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/03/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,3,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/04/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,4,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/05/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,5,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/06/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,12,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/07/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,13,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/08/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,13,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/09/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,13,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/10/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,14,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/11/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,20,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/12/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,23,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/13/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,28,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/14/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,28,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/15/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,30,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/16/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,32,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/17/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,32,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/18/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,55,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/19/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,115,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/20/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,399,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/21/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,896,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/22/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,1787,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/23/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,2345,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/24/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,2803,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/25/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,3939,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/26/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,5147,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/27/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,6031,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/28/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,6578,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/29/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,6986,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/30/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,7165,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
01/31/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,7475,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/01/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,7746,0,0,0,0,0,0,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/02/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,8664,1,0.14,11.54,1.65,0.71,0.1,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/03/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,9458,0,0.14,0,1.51,0,0.1,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/04/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,10354,0,0.14,0,1.38,0,0.1,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/05/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,10865,0,0.14,0,1.31,0,0.1,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/06/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,11265,0,0.14,0,1.27,0,0.1,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/07/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,11512,1,0.29,8.69,2.48,1.54,0.21,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/08/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,13117,1,0.43,7.62,3.27,0.81,0.33,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/09/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,14802,0,0.29,0,1.93,0,0.23,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/10/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,16141,0,0.29,0,1.77,0,0.25,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/11/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,17385,1,0.43,5.75,2.47,0.91,0.4,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/12/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,18717,2,0.71,10.69,3.82,2.22,0.73,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/13/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,19188,1,0.86,5.21,4.47,2.22,0.92,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/14/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,19348,0,0.71,0,3.69,0,0.8,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/15/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,20464,2,0.86,9.77,4.19,2.86,1.05,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
02/16/2021 12:00:00 AM,Cases in Completed Primary Series San Franciscans,Completed Primary Series,22039,1,1,4.54,4.54,1.19,1.28,06/28/2023 12:08:00 AM,06/28/2023 07:01:40 AM
